ts,tick_current,price_normalised,total_equity,active_lower_tick,active_upper_tick,liquidity,amount0_mm,amount1_mm,token0_fee_accul,token1_fee_accul,peak_equity
1767571127,1573,117035507,961462823928,1550,1600,355736360849393,441125110887,445189813898,5207508,4173138,961611241843
1767571155,1573,117035675,961463564822,1550,1600,355736360849393,440890335073,445464585160,5207508,4192373,961611241843
1767571167,1573,117035779,961464023273,1550,1600,355736360849393,440743129553,445636868212,5207508,4204434,961611241843
1767571177,1573,117036025,961465107078,1550,1600,355736360849393,440397558531,446041310377,5207508,4220797,961611241843
1767571177,1573,117035883,961464481571,1550,1600,355736360849393,440597275289,445807569963,5207508,4232747,961611241843
1767571215,1573,117036049,961465212770,1550,1600,355736360849393,440363782327,446080840708,5207508,4235514,961611241843
1767571265,1573,117036166,961465727900,1550,1600,355736360849393,440199895298,446272647708,5207508,4248942,961611241843
1767571277,1573,117036328,961466440841,1550,1600,355736360849393,439972230160,446539098443,5207508,4267595,961611241843
1767571281,1573,117036442,961466942319,1550,1600,355736360849393,439812698717,446725808277,5207508,4280665,961611241843
1767571285,1573,117036866,961468805863,1550,1600,355736360849393,439216336479,447423770688,5207508,4294821,961611241843
1767571285,1573,117036743,961468265520,1550,1600,355736360849393,439389118760,447221551827,5207508,4329526,961611241843
1767571287,1573,117038596,961476383299,1550,1600,355736360849393,436786554053,450267532919,5207508,4528603,961611241843
1767571299,1574,117046288,961509565386,1550,1600,355736360849393,425981651812,462913854379,5207508,5413908,961611241843
1767571303,1574,117056344,961551691964,1550,1600,355736360849393,411857034972,479446904319,5207508,6571306,961611241843
1767571305,1574,117056109,961550723710,1550,1600,355736360849393,412187193008,479060433779,5230620,6571306,961611241843
1767571407,1575,117062100,961575165856,1550,1600,355736360849393,403773583076,488909330262,5630337,6571306,961611241843
1767571407,1575,117066166,961591467232,1550,1600,355736360849393,398063761236,495593483718,5630337,7728704,961611241843
1767571407,1575,117060477,961568594103,1550,1600,355736360849393,406053446370,486240492908,5789939,7728704,961611241843
1767571409,1575,117062361,961576219227,1550,1600,355736360849393,403406337868,489339235696,6183101,7728704,961611241843
1767571409,1575,117066361,961592243192,1550,1600,355736360849393,397790157236,495913781700,6183101,8405885,961611241843
1767571411,1575,117066357,961592227279,1550,1600,355736360849393,397795440031,495907597323,6183101,8865706,961611241843
1767571411,1575,117062783,961577920358,1550,1600,355736360849393,402814355896,490032225023,6534451,8865706,961611241843
1767571413,1575,117066330,961592119869,1550,1600,355736360849393,397833507863,495863032704,6534451,9273893,961611241843
1767571413,1575,117062695,961577565827,1550,1600,355736360849393,402937538171,489888024478,6891760,9273893,961611241843
1767571415,1575,117062953,961578604941,1550,1600,355736360849393,402576129491,490311099686,7225684,9273893,961611241843
1767571415,1575,117066349,961592195455,1550,1600,355736360849393,397806142511,495895068320,7225684,9694418,961611241843
1767571417,1575,117063777,961581917402,1550,1600,355736360849393,401418324090,491666465653,7225684,9789301,961611241843
1767571423,1575,117062683,961577517472,1550,1600,355736360849393,402954507488,489868159738,7333225,9789301,961611241843
1767571423,1575,117060398,961568273278,1550,1600,355736360849393,406163425158,486111751258,7557866,9789301,961611241843
1767571507,1575,117060303,961567887358,1550,1600,355736360849393,406297273579,485955067826,7567236,9789301,961611241843
1767571519,1575,117060085,961567001295,1550,1600,355736360849393,406603392799,485596724072,7588665,9789301,961611241843
1767571519,1575,117059213,961563450369,1550,1600,355736360849393,407827869587,484163355836,7674384,9789301,961611241843
1767571521,1574,117056285,961551448943,1550,1600,355736360849393,411939622156,479350230805,7962228,9789301,961611241843
1767571539,1574,117056988,961554341417,1550,1600,355736360849393,410952841932,480505322551,7962228,9870163,961611241843
1767571543,1575,117057509,961556480578,1550,1600,355736360849393,410220663129,481362390916,7962228,9930163,961611241843
1767571547,1575,117058174,961559205448,1550,1600,355736360849393,409286542411,482455852474,7962228,10006711,961611241843
1767571605,1575,117059365,961564070105,1550,1600,355736360849393,407614336042,484413316686,7962228,10143744,961611241843
1767571625,1575,117060809,961569941427,1550,1600,355736360849393,405586807303,486786743601,7962228,10309896,961611241843
1767571703,1575,117060918,961570383434,1550,1600,355736360849393,405433544699,486966154130,7962228,10322456,961611241843
1767571719,1575,117061558,961572975336,1550,1600,355736360849393,404534336972,488018777832,7962228,10396145,961611241843
1767571799,1575,117062749,961577783393,1550,1600,355736360849393,402862102219,489976331857,7962228,10533184,961611241843
1767571807,1575,117063940,961582571529,1550,1600,355736360849393,401189884475,491933885882,7962228,10670222,961611241843
1767571815,1575,117063954,961582627694,1550,1600,355736360849393,401170595859,491956465897,7962228,10671803,961611241843
